% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0.101	0.201	2	1	1	1	2	68	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.101	0.201	2	2	2	1	4	176	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.101	0.201	1	3	3	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.101	0.201	1	3	3	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.201	0.301	2	1	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.201	0.301	2	1	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.201	0.301	1	2	4	1	4	176	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.201	0.301	2	2	2	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.201	0.301	2	2	2	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.201	0.301	1	3	3	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.201	0.301	1	3	3	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	2	1	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	2	1	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	1	2	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	1	2	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	1	5	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	1	5	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	2	4	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	2	4	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	2	1	1	1	2	68	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.501	0.601	1	2	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	1	2	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	1	5	1	2	68	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.301	0.401	1	2	4	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	2	4	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	2	1	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	2	1	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	1	2	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	1	2	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	1	5	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	1	5	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	2	4	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	2	4	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	2	1	1	1	2	68	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.501	0.601	1	2	1	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.501	0.601	1	2	1	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	1	5	1	2	68	4	92	0.0015	0.00173205	0	0.003	23	25.5865	2	54	
0.301	0.401	1	2	4	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	2	4	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	4	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
0.301	0.401	1	3	3	5	1	132	1	132	0.003	0	0.003	0.003	132	0	132	132	
